id	分类模块	族	类型	英文	中文	状态
def_seat_hotas_node_7_label	座椅与载人	座椅	label	Axis 4 [$[action_throttle_up]]/[$[action_throttle_down]]	轴 4 [$[action_throttle_up]]/[$[action_throttle_down]]	ok
def_seat_hotas_node_7_desc	座椅与载人	座椅	node_desc	Outputs a standard value between -1 and 1, controlled using [$[action_throttle_up]] and [$[action_throttle_down]]. [$[action_throttle_down]] causes the output value to move towards -1, and [$[action_throttle_up]] moves it towards 1.	输出一个介于-1和1之间的标准值，使用[$[action_throttle_up]]和[$[action_throttle_down]]进行控制。[$[action_throttle_down]]使输出值向-1移动，[$[action_throttle_up]]使其向1移动	ok
def_seat_hotas_node_8_label	座椅与载人	座椅	label	Axis 5	轴8	ok
def_seat_hotas_node_8_desc	座椅与载人	座椅	node_desc	Outputs a standard value between -1 and 1, controlled using the controller axis.	输出一个介于-1和1之间的标准值，由控制器轴控制	ok
def_seat_hotas_node_9_label	座椅与载人	座椅	label	Axis 6	热键1[$[action_hotkey_1]]	ok
def_seat_hotas_node_9_desc	座椅与载人	座椅	node_desc	Outputs a standard value between -1 and 1, controlled using the controller axis.	按住[$[action_hotkey_1]]时输出on信号,否则输出off信号	ok
def_seat_hotas_node_10_label	座椅与载人	座椅	label	Axis 7	热键2[$[action_hotkey_2]]	ok
def_seat_hotas_node_10_desc	座椅与载人	座椅	node_desc	Outputs a standard value between -1 and 1, controlled using the controller axis.	按住[$[action_hotkey_2]]时输出on信号,否则输出off信号	ok
def_seat_hotas_node_11_label	座椅与载人	座椅	label	Axis 8	热键3[$[action_hotkey_3]]	ok
def_seat_hotas_node_11_desc	座椅与载人	座椅	node_desc	Outputs a standard value between -1 and 1, controlled using the controller axis.	按住[$[action_hotkey_3]时输出on信号,否则输出off信号	ok
def_seat_hotas_node_12_label	座椅与载人	座椅	label	Hotkey 1 [$[action_hotkey_1]]	按键 1 [$[action_hotkey_1]]	ok
def_seat_hotas_node_12_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_1]] is held, and off when it is not.	按住[$[action_hotkey_1]]时输出on信号,否则输出off信号	ok
def_seat_hotas_node_13_label	座椅与载人	座椅	label	Hotkey 2 [$[action_hotkey_2]]	按键 2 [$[action_hotkey_2]]	ok
def_seat_hotas_node_13_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_2]] is held, and off when it is not.	按住[$[action_hotkey_2]]时输出on信号,否则输出off信号	ok
def_seat_hotas_node_14_label	座椅与载人	座椅	label	Hotkey 3 [$[action_hotkey_3]]	按键 3 [$[action_hotkey_3]]	ok
def_seat_hotas_node_14_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_3]] is held, and off when it is not.	按住[$[action_hotkey_3]]时输出on信号,否则输出off信号	ok
def_seat_hotas_node_15_label	座椅与载人	座椅	label	Hotkey 4 [$[action_hotkey_4]]	按键 4 [$[action_hotkey_4]]	ok
def_seat_hotas_node_15_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_4]] is held, and off when it is not.	按住[$[action_hotkey_4]]时输出on信号,否则输出off信号	ok
def_seat_hotas_node_16_label	座椅与载人	座椅	label	Hotkey 5 [$[action_hotkey_5]]	按键 5 [$[action_hotkey_5]]	ok
def_seat_hotas_node_16_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_5]] is held, and off when it is not.	按住[$[action_hotkey_5]]时输出on信号,否则输出off信号	ok
def_seat_hotas_node_17_label	座椅与载人	座椅	label	Hotkey 6 [$[action_hotkey_6]]	按键 6 [$[action_hotkey_6]]	ok
def_seat_hotas_node_17_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_6]] is held, and off when it is not.	按住[$[action_hotkey_6]]时输出on信号,否则输出off信号	ok
def_seat_hotas_node_18_label	座椅与载人	座椅	label	Hotkey 7	热键10	ok
def_seat_hotas_node_18_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_19_label	座椅与载人	座椅	label	Hotkey 8	热键11	ok
def_seat_hotas_node_19_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_20_label	座椅与载人	座椅	label	Hotkey 9	热键12	ok
def_seat_hotas_node_20_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_21_label	座椅与载人	座椅	label	Hotkey 10	热键13	ok
def_seat_hotas_node_21_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_22_label	座椅与载人	座椅	label	Hotkey 11	热键14	ok
def_seat_hotas_node_22_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_23_label	座椅与载人	座椅	label	Hotkey 12	热键15	ok
def_seat_hotas_node_23_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_24_label	座椅与载人	座椅	label	Hotkey 13	热键16	ok
def_seat_hotas_node_24_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_25_label	座椅与载人	座椅	label	Hotkey 14	热键17	ok
def_seat_hotas_node_25_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_26_label	座椅与载人	座椅	label	Hotkey 15	热键18	ok
def_seat_hotas_node_26_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_27_label	座椅与载人	座椅	label	Hotkey 16	热键19	ok
def_seat_hotas_node_27_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_28_label	座椅与载人	座椅	label	Hotkey 17	热键20	ok
def_seat_hotas_node_28_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_29_label	座椅与载人	座椅	label	Hotkey 18	热键21	ok
def_seat_hotas_node_29_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_30_label	座椅与载人	座椅	label	Hotkey 19	热键22	ok
def_seat_hotas_node_30_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_31_label	座椅与载人	座椅	label	Hotkey 20	热键23	ok
def_seat_hotas_node_31_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_32_label	座椅与载人	座椅	label	Hotkey 21	热键24	ok
def_seat_hotas_node_32_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_33_label	座椅与载人	座椅	label	Hotkey 22	热键25	ok
def_seat_hotas_node_33_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_34_label	座椅与载人	座椅	label	Hotkey 23	热键26	ok
def_seat_hotas_node_34_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_35_label	座椅与载人	座椅	label	Hotkey 24	热键27	ok
def_seat_hotas_node_35_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_36_label	座椅与载人	座椅	label	Hotkey 25	热键28	ok
def_seat_hotas_node_36_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_37_label	座椅与载人	座椅	label	Hotkey 26	热键29	ok
def_seat_hotas_node_37_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_38_label	座椅与载人	座椅	label	Hotkey 27	热键30	ok
def_seat_hotas_node_38_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_39_label	座椅与载人	座椅	label	Hotkey 28	热键31	ok
def_seat_hotas_node_39_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_40_label	座椅与载人	座椅	label	Hotkey 29	热键32	ok
def_seat_hotas_node_40_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_41_label	座椅与载人	座椅	label	Hotkey 30	热键33	ok
def_seat_hotas_node_41_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_42_label	座椅与载人	座椅	label	Hotkey 31	热键34	ok
def_seat_hotas_node_42_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_43_label	座椅与载人	座椅	label	Hotkey 32	热键35	ok
def_seat_hotas_node_43_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_44_label	座椅与载人	座椅	label	Hotkey 33	热键36	ok
def_seat_hotas_node_44_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_45_label	座椅与载人	座椅	label	Hotkey 34	热键37	ok
def_seat_hotas_node_45_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_46_label	座椅与载人	座椅	label	Hotkey 35	热键38	ok
def_seat_hotas_node_46_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_47_label	座椅与载人	座椅	label	Hotkey 36	热键39	ok
def_seat_hotas_node_47_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_48_label	座椅与载人	座椅	label	Hotkey 37	热键40	ok
def_seat_hotas_node_48_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_49_label	座椅与载人	座椅	label	Hotkey 38	热键41	ok
def_seat_hotas_node_49_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_50_label	座椅与载人	座椅	label	Hotkey 39	热键42	ok
def_seat_hotas_node_50_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_51_label	座椅与载人	座椅	label	Hotkey 40	热键43	ok
def_seat_hotas_node_51_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_52_label	座椅与载人	座椅	label	Hotkey 41	热键44	ok
def_seat_hotas_node_52_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_53_label	座椅与载人	座椅	label	Hotkey 42	热键45	ok
def_seat_hotas_node_53_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_54_label	座椅与载人	座椅	label	Hotkey 43	热键46	ok
def_seat_hotas_node_54_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_55_label	座椅与载人	座椅	label	Hotkey 44	热键47	ok
def_seat_hotas_node_55_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_56_label	座椅与载人	座椅	label	Hotkey 45	热键48	ok
def_seat_hotas_node_56_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_57_label	座椅与载人	座椅	label	Hotkey 46	座椅数据	ok
def_seat_hotas_node_57_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_58_label	座椅与载人	座椅	label	Hotkey 47	耳机音频	ok
def_seat_hotas_node_58_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_59_label	座椅与载人	座椅	label	Hotkey 48	耳机音频	ok
def_seat_hotas_node_59_desc	座椅与载人	座椅	node_desc	Outputs an on signal when the controller button is held, and off when it is not.	按住按钮时，输出on信号。松开按钮，输出off信号	ok
def_seat_hotas_node_60_label	座椅与载人	座椅	label	Seat data	座位数据	ok
def_seat_hotas_node_60_desc	座椅与载人	座椅	node_desc	Outputs the axis, hotkey and occupied data from the seat. (On/Off 1+ : Hotkeys) (On/Off 31 : Trigger) (On/Off 32 : Occupied) (Value 1 : [$[action_left]]/[$[action_right]]) (Value 2 : [$[action_up]]/[$[action_down]]) (Value 3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (Value 4 : [$[action_throttle_up]]/[$[action_throttle_down]]) (Values 5/6/7/8 : Controller Axes) (Value 9 : Look X)  (Value 10 : Look Y)	从座椅输出轴、热键和占用数据。(On/Off 1+ : 按键) (On/Off 31 : 扳机) (On/Off 32 : 占用) (值1 : [$[action_left]]/[$[action_right]]) (值2 : [$[action_up]]/[$[action_down]]) (值3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (值4 : [$[action_throttle_up]]/[$[action_throttle_down]])	ok
def_seat_hotas_node_61_label	座椅与载人	座椅	label	Headset Audio	头盔音频	ok
def_seat_hotas_node_61_desc	座椅与载人	座椅	node_desc			ok
def_seat_hotas_node_62_label	座椅与载人	座椅	label	Headset Audio	头盔音频	ok
def_seat_hotas_node_62_desc	座椅与载人	座椅	node_desc			ok
def_seat_hotas_node_63_label	座椅与载人	座椅	label	Headset Video	头盔显示器	ok
def_seat_hotas_node_63_desc	座椅与载人	座椅	node_desc	Displays video UI overlay on a helmet mounted display.	头盔显示器输入信号	ok
def_seat_medical_name	座椅与载人	座椅	name	Medical Bed	病床	ok
def_seat_medical_desc	座椅与载人	座椅	desc	You can get in and out of the medical bed by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any medical bed by using [$[action_use_seat]] while carrying them.	你可以通过使用[$[action_use_seat]]与病床互动来进出病床。您可以在携带获救幸存者时使用 [$[action_use_seat]]将其放置在任何医疗床上	ok
def_seat_medical_s_desc	座椅与载人	座椅	s_desc	A bed equiped with medical monitoring equipment, slowly heals injured characters.	装有医疗监护设备的床	ok
def_seat_medical_node_0_label	座椅与载人	座椅	label	Occupied	被占用	ok
def_seat_medical_node_0_desc	座椅与载人	座椅	node_desc	Outputs an on signal if this bed is occupied by a character.	如果这个床被一个角色占用，则输出一个打开信号	ok
def_seat_padded_name	座椅与载人	座椅	name	Padded Seat	软垫座椅	ok
def_seat_padded_desc	座椅与载人	座椅	desc	You can get in and out of the seat by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any seat by using [$[action_use_seat]] while carrying them.	通过使用[$[action_use_seat]]与座椅交互以进出座椅。可以在携带获救幸存者时使用[$[action_use_seat]]将其放置在任何座椅上	ok
def_seat_padded_s_desc	座椅与载人	座椅	s_desc	A small padded passenger seat.	小型软垫座位	ok
def_seat_padded_node_0_label	座椅与载人	座椅	label	Occupied	被占用	ok
def_seat_padded_node_0_desc	座椅与载人	座椅	node_desc	Outputs an on signal if this seat is occupied by a character.	如果该座位被角色占用，则输出on信号	ok
def_seat_passenger_name	座椅与载人	座椅	name	Passenger Seat	乘客座椅	ok
def_seat_passenger_desc	座椅与载人	座椅	desc	You can get in and out of the seat by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any seat by using [$[action_use_seat]] while carrying them.	通过使用[$[action_use_seat]]与座椅交互以进出座椅。可以在携带获救幸存者时使用[$[action_use_seat]]将其放置在任何座椅上	ok
def_seat_passenger_s_desc	座椅与载人	座椅	s_desc	A basic passenger seat.	基本的乘客座位	ok
def_seat_passenger_node_0_label	座椅与载人	座椅	label	Occupied	被占用	ok
def_seat_passenger_node_0_desc	座椅与载人	座椅	node_desc	Outputs an on signal if this seat is occupied by a character.	如果该座位被角色占用，则输出on信号	ok
def_seat_racing_name	座椅与载人	座椅	name	Driver seat	驾驶座椅	ok
def_seat_racing_desc	座椅与载人	座椅	desc	It provides 4 number outputs that produce a standard value ranging from -1 to 1, and 6 on/off outputs. You can get in and out of the driver seat by interacting with it using [$[action_use_seat]].	提供4个输出，产生从-1到1的标准值，以及6个开/关输出。您可以通过使用[[$[action_use_seat]]与驾驶座椅交互来进出座椅	ok
def_seat_racing_s_desc	座椅与载人	座椅	s_desc	The driver seat lets you translate keyboard presses into output signals that can control logic components.	驾驶座椅允许您将键盘按键转换为可以控制逻辑组件的输出信号	ok
def_seat_racing_node_0_label	座椅与载人	座椅	label	Occupied	被占用	ok
def_seat_racing_node_0_desc	座椅与载人	座椅	node_desc	Outputs an on signal if this seat is occupied by a character.	如果该座位被角色占用，则输出on信号	ok
def_seat_racing_node_1_label	座椅与载人	座椅	label	Trigger [$[action_trigger]]	扳机 [$[action_trigger]]	ok
def_seat_racing_node_1_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_trigger]] is held, and off when it is not.	按住[$[action_trigger]]时，输出一个开启信号，不按住时，输出一个关闭信号	ok
def_seat_racing_node_2_label	座椅与载人	座椅	label	Look X	视野X轴	ok
def_seat_racing_node_2_desc	座椅与载人	座椅	node_desc	Outputs the character look direction in turns along the X-axis.	输出角色X轴视野方向	ok
def_seat_racing_node_3_label	座椅与载人	座椅	label	Look Y	视野Y轴	ok
def_seat_racing_node_3_desc	座椅与载人	座椅	node_desc	Outputs the character look direction in turns along the Y-axis.	输出角色Y轴视野方向	ok
def_seat_racing_node_4_label	座椅与载人	座椅	label	Axis 1 [$[action_left]]/[$[action_right]]	轴 1 [$[action_left]]/[$[action_right]]	ok
def_seat_racing_node_4_desc	座椅与载人	座椅	node_desc	Outputs a standard value between -1 and 1, controlled using [$[action_left]] and [$[action_right]]. [$[action_left]] causes the output value to move towards -1, and [$[action_right]] moves it towards 1.	输出一个介于-1和1之间的值，使用[$[action_left]]和[$[action_right]]进行控制。[$[action_left]]使输出值向-1移动，[$[action_right]]使其向1移动	ok
def_seat_racing_node_5_label	座椅与载人	座椅	label	Axis 2 [$[action_up]]/[$[action_down]]	轴 2 [$[action_up]]/[$[action_down]]	ok
def_seat_racing_node_5_desc	座椅与载人	座椅	node_desc	Outputs a standard value between -1 and 1, controlled using [$[action_up]] and [$[action_down]]. [$[action_down]] causes the output value to move towards -1, and [$[action_up]] moves it towards 1.	输出一个介于-1和1之间的值，使用[$[action_up]]和[$[action_down]]进行控制。[$[action_down]]使输出值向-1移动，[$[action_up]]使其向1移动	ok
def_seat_racing_node_6_label	座椅与载人	座椅	label	Axis 3 [$[action_pedal_left]]/[$[action_pedal_right]]	轴 3 [$[action_pedal_left]]/[$[action_pedal_right]]	ok
def_seat_racing_node_6_desc	座椅与载人	座椅	node_desc	Outputs a standard value between -1 and 1, controlled using [$[action_pedal_left]] and [$[action_pedal_right]]. [$[action_pedal_left]] causes the output value to move towards -1, and [$[action_pedal_right]] moves it towards 1.	输出一个介于-1和1之间的值，使用[$[动作踏板左]]和[$[动作踏板右]]进行控制。[$[action_People_left]]使输出值向-1移动，[$[action_People_right]]使其向1移动	ok
def_seat_racing_node_7_label	座椅与载人	座椅	label	Axis 4 [$[action_throttle_up]]/[$[action_throttle_down]]	轴 4 [$[action_throttle_up]]/[$[action_throttle_down]]	ok
def_seat_racing_node_7_desc	座椅与载人	座椅	node_desc	Outputs a standard value between -1 and 1, controlled using [$[action_throttle_up]] and [$[action_throttle_down]]. [$[action_throttle_down]] causes the output value to move towards -1, and [$[action_throttle_up]] moves it towards 1.	输出一个介于-1和1之间的值，使用[$[action_throttle_up]]和[$[action_throttle_down]]进行控制。[$[action_throttle_down]]使输出值向-1移动，[$[action_throttle_up]]使其向1移动	ok
def_seat_racing_node_8_label	座椅与载人	座椅	label	Hotkey 1 [$[action_hotkey_1]]	按键 1 [$[action_hotkey_1]]	ok
def_seat_racing_node_8_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_1]] is held, and off when it is not.	按住[$[action_hotkey_1]]时输出on信号,否则输出off信号	ok
def_seat_racing_node_9_label	座椅与载人	座椅	label	Hotkey 2 [$[action_hotkey_2]]	按键 2 [$[action_hotkey_2]]	ok
def_seat_racing_node_9_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_2]] is held, and off when it is not.	按住[$[action_hotkey_2]]时输出on信号,否则输出off信号	ok
def_seat_racing_node_10_label	座椅与载人	座椅	label	Hotkey 3 [$[action_hotkey_3]]	按键 3 [$[action_hotkey_3]]	ok
def_seat_racing_node_10_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_3]] is held, and off when it is not.	按住[$[action_hotkey_3]]时输出on信号,否则输出off信号	ok
def_seat_racing_node_11_label	座椅与载人	座椅	label	Hotkey 4 [$[action_hotkey_4]]	按键 4 [$[action_hotkey_4]]	ok
def_seat_racing_node_11_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_4]] is held, and off when it is not.	按住[$[action_hotkey_4]]时输出on信号,否则输出off信号	ok
def_seat_racing_node_12_label	座椅与载人	座椅	label	Hotkey 5 [$[action_hotkey_5]]	按键 5 [$[action_hotkey_5]]	ok
def_seat_racing_node_12_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_5]] is held, and off when it is not.	按住[$[action_hotkey_5]]时输出on信号,否则输出off信号	ok
def_seat_racing_node_13_label	座椅与载人	座椅	label	Hotkey 6 [$[action_hotkey_6]]	按键 6 [$[action_hotkey_6]]	ok
def_seat_racing_node_13_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_hotkey_6]] is held, and off when it is not.	按住[$[action_hotkey_6]]时输出on信号,否则输出off信号	ok
def_seat_racing_node_14_label	座椅与载人	座椅	label	Seat data	座位数据	ok
def_seat_racing_node_14_desc	座椅与载人	座椅	node_desc	Outputs the axis, hotkey and occupied data from the seat. (On/Off 1+ : Hotkeys) (On/Off 31 : Trigger) (On/Off 32 : Occupied) (Value 1 : [$[action_left]]/[$[action_right]]) (Value 2 : [$[action_up]]/[$[action_down]]) (Value 3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (Value 4 : [$[action_throttle_up]]/[$[action_throttle_down]]) (Value 9 : Look X)  (Value 10 : Look Y)	从座椅输出轴、热键和占用数据。(On/Off 1+ : 按键) (On/Off 31 : 扳机) (On/Off 32 : 占用) (值1 : [$[action_left]]/[$[action_right]]) (值2 : [$[action_up]]/[$[action_down]]) (值3 : [$[action_pedal_left]]/[$[action_pedal_right]]) (值4 : [$[action_throttle_up]]/[$[action_throttle_down]])	ok
def_seat_racing_node_15_label	座椅与载人	座椅	label	Headset Audio	头盔音频	ok
def_seat_racing_node_15_desc	座椅与载人	座椅	node_desc			ok
def_seat_racing_node_16_label	座椅与载人	座椅	label	Headset Audio	头盔音频	ok
def_seat_racing_node_16_desc	座椅与载人	座椅	node_desc			ok
def_seat_racing_node_17_label	座椅与载人	座椅	label	Headset Video	头盔显示器	ok
def_seat_racing_node_17_desc	座椅与载人	座椅	node_desc	Displays video UI overlay on a helmet mounted display.	头盔显示器输入信号	ok
def_seat_saddle_name	座椅与载人	座椅	name	Saddle Seat	摩托鞍座	ok
def_seat_saddle_desc	座椅与载人	座椅	desc	You can get in and out of the seat by interacting with it using [$[action_use_seat]]. You can place a rescued survivor in any seat by using [$[action_use_seat]] while carrying them.	通过使用[$[action_use_seat]]与座椅交互以进出座椅。可以在携带获救幸存者时使用[$[action_use_seat]]将其放置在任何座椅上	ok
def_seat_saddle_s_desc	座椅与载人	座椅	s_desc	A small padded seat with control handlebars.	带有控制把手的小型软垫	ok
def_seat_saddle_node_0_label	座椅与载人	座椅	label	Occupied	被占用	ok
def_seat_saddle_node_0_desc	座椅与载人	座椅	node_desc	Outputs an on signal if the seat is occupied by a character.	如果该座位被角色占用，则输出on信号	ok
def_seat_saddle_node_1_label	座椅与载人	座椅	label	Trigger [$[action_trigger]]	扳机 [$[action_trigger]]	ok
def_seat_saddle_node_1_desc	座椅与载人	座椅	node_desc	Outputs an on signal when [$[action_trigger]] is held, and off when it is not.	按住[$[action_trigger]]时，输出一个开启信号，不按住时，输出一个关闭信号	ok
def_seat_saddle_node_2_label	座椅与载人	座椅	label	Look X	视野X轴	ok
def_seat_saddle_node_2_desc	座椅与载人	座椅	node_desc	Outputs the character look direction in turns along the X-axis.	输出角色X轴视野方向	ok
def_seat_saddle_node_3_label	座椅与载人	座椅	label	Look Y	视野Y轴	ok
def_seat_saddle_node_3_desc	座椅与载人	座椅	node_desc	Outputs the character look direction in turns along the Y-axis.	输出角色Y轴视野方向	ok
def_seat_saddle_node_4_label	座椅与载人	座椅	label	Axis 1 [$[action_left]]/[$[action_right]]	轴 1 [$[action_left]]/[$[action_right]]	ok
def_seat_saddle_node_4_desc	座椅与载人	座椅	node_desc	Outputs a standard value between -1 and 1, controlled using [$[action_left]] and [$[action_right]]. [$[action_left]] causes the output value to move towards -1, and [$[action_right]] moves it towards 1.	输出一个介于-1和1之间的值，使用[$[action_left]]和[$[action_right]]进行控制。[$[action_left]]使输出值向-1移动，[$[action_right]]使其向1移动	ok
def_seat_saddle_node_5_label	座椅与载人	座椅	label	Axis 2 [$[action_up]]/[$[action_down]]	轴 2 [$[action_up]]/[$[action_down]]	ok
